fecha,hora,pelicula,cine,cadena,barrio,direccion,formato,version,duracion_min,genero,link_compra
2026-06-07,00:20,Scary Movie,Cinépolis Recoleta,Cinépolis,Buenos Aires,"Vicente López 2050, Recoleta",2D,Subtitulada,,Comedia; Terror,https://cinepolis.com/ar/asientos?country=ar&movie=scary-movie-terrorificamente-incorrecta&cinema=cinepolis-recoleta-buenos-aires&selected=cinepolis-recoleta-buenos-aires&session=127178
2026-06-07,00:45,Obsesión,Cinépolis Recoleta,Cinépolis,Buenos Aires,"Vicente López 2050, Recoleta",2D,Subtitulada,91,Suspense,https://cinepolis.com/ar/asientos?country=ar&movie=obsesion&cinema=cinepolis-recoleta-buenos-aires&selected=cinepolis-recoleta-buenos-aires&session=128028
2026-06-07,00:45,Backrooms,Cinépolis Recoleta,Cinépolis,Buenos Aires,"Vicente López 2050, Recoleta",2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://cinepolis.com/ar/asientos?country=ar&movie=backrooms&cinema=cinepolis-recoleta-buenos-aires&selected=cinepolis-recoleta-buenos-aires&session=128027
2026-06-07,00:50,Scary Movie,Cinépolis Recoleta,Cinépolis,Buenos Aires,"Vicente López 2050, Recoleta",2D,Subtitulada,,Comedia; Terror,https://cinepolis.com/ar/asientos?country=ar&movie=scary-movie-terrorificamente-incorrecta&cinema=cinepolis-recoleta-buenos-aires&selected=cinepolis-recoleta-buenos-aires&session=127179
2026-06-07,00:50,El Diablo Viste A La Moda 2,Cinépolis Recoleta,Cinépolis,Buenos Aires,"Vicente López 2050, Recoleta",2D,Subtitulada,120,Comedia; Drama,https://cinepolis.com/ar/asientos?country=ar&movie=el-diablo-viste-a-la-moda-2&cinema=cinepolis-recoleta-buenos-aires&selected=cinepolis-recoleta-buenos-aires&session=128025
2026-06-07,01:00,Scary Movie,Cinépolis Recoleta,Cinépolis,Buenos Aires,"Vicente López 2050, Recoleta",2D,Subtitulada,,Comedia; Terror,https://cinepolis.com/ar/asientos?country=ar&movie=scary-movie-terrorificamente-incorrecta&cinema=cinepolis-recoleta-buenos-aires&selected=cinepolis-recoleta-buenos-aires&session=128026
2026-06-07,09:00,The Amazing Circus: el Último Acto,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,94,Animación; Drama; Ciencia ficción; Suspense,https://www.cinemark.com.ar
2026-06-07,09:00,Backrooms,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar
2026-06-07,09:10,Backrooms,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar
2026-06-07,09:10,Super Mario Galaxy: La Película,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",2D,Doblada,98,Aventura; Animación; Comedia; Familiar; Fantasía,https://www.cinemark.com.ar
2026-06-07,09:20,Amarga Navidad,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Doblada,112,Drama; Comedia,https://www.cinemark.com.ar
2026-06-07,09:20,Backrooms,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",XD,Subtitulada,105,Terror; Misterio; Ciencia ficción,https://www.cinemark.com.ar
2026-06-07,09:40,Scary Movie,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Subtitulada,,Comedia; Terror,https://www.cinemark.com.ar
2026-06-07,09:50,Super Mario Galaxy: La Película,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Doblada,98,Aventura; Animación; Comedia; Familiar; Fantasía,https://www.cinemark.com.ar
2026-06-07,09:50,Scary Movie,Hoyts Dot Baires,Cinemark Hoyts,CABA,"Vedia 3626, Shopping DOT",2D,Subtitulada,,Comedia; Terror,https://www.cinemark.com.ar
2026-06-07,10:00,Amos del Universo,Cinemark Caballito,Cinemark Hoyts,CABA,"Av. La Plata 96, Caballito",2D,Doblada,132,Acción; Fantasía; Ciencia ficción,https://www.cinemark.com.ar
2026-06-07,10:00,El partido,Cinemark Palermo,Cinemark Hoyts,CABA,"Beruti 3399, Palermo CABA",2D,Doblada,97,Documental,https://www.cinemark.com.ar
2026-06-07,10:00,El Pequeño Ninja,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,84,Animación; Acción; Comedia,https://www.cinemark.com.ar
2026-06-07,10:00,Michael,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,127,Música; Drama; Historia,https://www.cinemark.com.ar
2026-06-07,10:00,Amos del Universo,Hoyts Abasto,Cinemark Hoyts,CABA,"Aguero 665, Abasto Shopping",2D,Doblada,132,Acción; Fantasía; Ciencia ficción,https://www.cinemark.com.ar
