fecha,hora,pelicula,cine,cadena,barrio,direccion,formato,version,duracion_min,genero,link_compra
2026-05-16,09:00,El Diablo Viste A La Moda 2,Cinemark Palermo,Cinemark Hoyts,Buenos Aires,"Beruti 3399, Palermo",2D,Subtitulada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,09:30,Mortal Kombat 2,Hoyts Dot Baires,Cinemark Hoyts,Buenos Aires,"Vedia 3626, Dot Baires Mall, Saavedra",XD,Subtitulada,116,Acción; Fantasía; Aventura,https://www.cinemark.com.ar
2026-05-16,09:30,Mortal Kombat 2,Hoyts Dot Baires,Cinemark Hoyts,Buenos Aires,"Vedia 3626, Dot Baires Mall, Saavedra",2D,Subtitulada,116,Acción; Fantasía; Aventura,https://www.cinemark.com.ar
2026-05-16,09:40,Obsesión,Hoyts Dot Baires,Cinemark Hoyts,Buenos Aires,"Vedia 3626, Dot Baires Mall, Saavedra",2D,Subtitulada,91,Suspense,https://www.cinemark.com.ar
2026-05-16,09:45,El Diablo Viste A La Moda 2,Hoyts Dot Baires,Cinemark Hoyts,Buenos Aires,"Vedia 3626, Dot Baires Mall, Saavedra",2D,Subtitulada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,09:50,El Diablo Viste A La Moda 2,Cinemark Palermo,Cinemark Hoyts,Buenos Aires,"Beruti 3399, Palermo",2D,Subtitulada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,10:00,Michael,Cinemark Caballito,Cinemark Hoyts,Buenos Aires,"Av. La Plata 96, Caballito",2D,Doblada,127,Música; Drama; Historia,https://www.cinemark.com.ar
2026-05-16,10:00,Mortal Kombat 2,Cinemark Palermo,Cinemark Hoyts,Buenos Aires,"Beruti 3399, Palermo",2D,Subtitulada,116,Acción; Fantasía; Aventura,https://www.cinemark.com.ar
2026-05-16,10:00,Mortal Kombat 2,Cinemark Puerto Madero,Cinemark Hoyts,Buenos Aires,Av. Alicia Moreau de Justo 1920,2D,Doblada,116,Acción; Fantasía; Aventura,https://www.cinemark.com.ar
2026-05-16,10:00,Michael,Hoyts Abasto,Cinemark Hoyts,Buenos Aires,"Av. Corrientes 3247, Abasto Shopping",2D,Subtitulada,127,Música; Drama; Historia,https://www.cinemark.com.ar
2026-05-16,10:00,Exit 8,Hoyts Abasto,Cinemark Hoyts,Buenos Aires,"Av. Corrientes 3247, Abasto Shopping",2D,Doblada,95,Terror; Misterio,https://www.cinemark.com.ar
2026-05-16,10:00,Umamusume: Pretty Derby,Hoyts Abasto,Cinemark Hoyts,Buenos Aires,"Av. Corrientes 3247, Abasto Shopping",2D,Subtitulada,108,Animación; Drama; Comedia; Fantasía,https://www.cinemark.com.ar
2026-05-16,10:00,El Diablo Viste A La Moda 2,Hoyts Dot Baires,Cinemark Hoyts,Buenos Aires,"Vedia 3626, Dot Baires Mall, Saavedra",2D,Subtitulada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,10:10,Obsesión,Cinemark Palermo,Cinemark Hoyts,Buenos Aires,"Beruti 3399, Palermo",2D,Subtitulada,91,Suspense,https://www.cinemark.com.ar
2026-05-16,10:10,El Diablo Viste A La Moda 2,Cinemark Puerto Madero,Cinemark Hoyts,Buenos Aires,Av. Alicia Moreau de Justo 1920,2D,Doblada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,10:10,Mortal Kombat 2,Hoyts Abasto,Cinemark Hoyts,Buenos Aires,"Av. Corrientes 3247, Abasto Shopping",2D,Doblada,116,Acción; Fantasía; Aventura,https://www.cinemark.com.ar
2026-05-16,10:15,El Diablo Viste A La Moda 2,Cinemark Palermo,Cinemark Hoyts,Buenos Aires,"Beruti 3399, Palermo",2D,Subtitulada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,10:15,El Diablo Viste A La Moda 2,Hoyts Abasto,Cinemark Hoyts,Buenos Aires,"Av. Corrientes 3247, Abasto Shopping",2D,Doblada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,10:20,El Diablo Viste A La Moda 2,Cinemark Caballito,Cinemark Hoyts,Buenos Aires,"Av. La Plata 96, Caballito",2D,Doblada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,10:20,Super Mario Galaxy: La Película,Cinemark Caballito,Cinemark Hoyts,Buenos Aires,"Av. La Plata 96, Caballito",2D,Doblada,98,Aventura; Animación; Comedia; Familiar; Fantasía,https://www.cinemark.com.ar
2026-05-16,10:20,Michael,Cinemark Palermo,Cinemark Hoyts,Buenos Aires,"Beruti 3399, Palermo",2D,Subtitulada,127,Música; Drama; Historia,https://www.cinemark.com.ar
2026-05-16,10:20,Obsesión,Cinemark Puerto Madero,Cinemark Hoyts,Buenos Aires,Av. Alicia Moreau de Justo 1920,2D,Doblada,91,Suspense,https://www.cinemark.com.ar
2026-05-16,10:20,Michael,Hoyts Dot Baires,Cinemark Hoyts,Buenos Aires,"Vedia 3626, Dot Baires Mall, Saavedra",2D,Subtitulada,127,Música; Drama; Historia,https://www.cinemark.com.ar
2026-05-16,10:30,Mortal Kombat 2,Cinemark Caballito,Cinemark Hoyts,Buenos Aires,"Av. La Plata 96, Caballito",2D,Doblada,116,Acción; Fantasía; Aventura,https://www.cinemark.com.ar
2026-05-16,10:40,Exit 8,Cinemark Puerto Madero,Cinemark Hoyts,Buenos Aires,Av. Alicia Moreau de Justo 1920,2D,Doblada,95,Terror; Misterio,https://www.cinemark.com.ar
2026-05-16,10:40,Michael,Hoyts Abasto,Cinemark Hoyts,Buenos Aires,"Av. Corrientes 3247, Abasto Shopping",2D,Doblada,127,Música; Drama; Historia,https://www.cinemark.com.ar
2026-05-16,10:45,El Diablo Viste A La Moda 2,Cinemark Palermo,Cinemark Hoyts,Buenos Aires,"Beruti 3399, Palermo",2D,Subtitulada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,10:45,El Diablo Viste A La Moda 2,Hoyts Dot Baires,Cinemark Hoyts,Buenos Aires,"Vedia 3626, Dot Baires Mall, Saavedra",2D,Doblada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,10:50,El Diablo Viste A La Moda 2,Cinemark Caballito,Cinemark Hoyts,Buenos Aires,"Av. La Plata 96, Caballito",2D,Doblada,120,Comedia; Drama,https://www.cinemark.com.ar
2026-05-16,10:50,Mortal Kombat 2,Cinemark Palermo,Cinemark Hoyts,Buenos Aires,"Beruti 3399, Palermo",2D,Subtitulada,116,Acción; Fantasía; Aventura,https://www.cinemark.com.ar
